genome_id	phylum	class	order	completeness
SB_biofilm_MAG_1	Bacteroidota	Bacteroidia	Cytophagales	100
SB_biofilm_MAG_10	Cyanobacteriota	Cyanobacteriia	Phormidesmiales	98.64
SB_biofilm_MAG_11	Bacteroidota	Bacteroidia	Chitinophagales	98.64
SB_biofilm_MAG_12	Proteobacteria	Alphaproteobacteria		98.6
SB_biofilm_MAG_13	Proteobacteria	Alphaproteobacteria	Rhizobiales	98.39
SB_biofilm_MAG_14	Bacteroidota			98.36
SB_biofilm_MAG_15	Bacteroidota	Bacteroidia	Flavobacteriales	98.3
SB_biofilm_MAG_16	Proteobacteria	Alphaproteobacteria	Rhodobacterales	98.28
SB_biofilm_MAG_17	Chloroflexota	Anaerolineae	SBR1031	98.18
SB_biofilm_MAG_18	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	97.96
SB_biofilm_MAG_19	Proteobacteria	Alphaproteobacteria	Caulobacterales	97.89
SB_biofilm_MAG_2	Bacteroidota	Bacteroidia	Cytophagales	100
SB_biofilm_MAG_20	Proteobacteria	Gammaproteobacteria		97.74
SB_biofilm_MAG_21	Proteobacteria	Alphaproteobacteria		97.61
SB_biofilm_MAG_22	Proteobacteria	Alphaproteobacteria	Caulobacterales	97.52
SB_biofilm_MAG_23	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	97.47
SB_biofilm_MAG_24	Proteobacteria	Alphaproteobacteria		96.96
SB_biofilm_MAG_25	Proteobacteria	Alphaproteobacteria	Caulobacterales	96.62
SB_biofilm_MAG_26	Planctomycetota	Phycisphaerae	Phycisphaerales	96.59
SB_biofilm_MAG_27	Proteobacteria	Alphaproteobacteria		96.55
SB_biofilm_MAG_28	Myxococcota	Polyangia	Polyangiales	96.2
SB_biofilm_MAG_29	Proteobacteria	Alphaproteobacteria	Caulobacterales	96.17
SB_biofilm_MAG_3	Bacteroidota	Bacteroidia	Flavobacteriales	100
SB_biofilm_MAG_30	BRC1	UBA8349		96.07
SB_biofilm_MAG_31	Proteobacteria	Gammaproteobacteria	UBA1113	95.93
