genome_id	phylum	class	order	completeness
SB_biofilm_MAG_1-MAP.txt	Bacteroidota	Bacteroidia	Cytophagales	100
SB_biofilm_MAG_10-MAP.txt	Cyanobacteriota	Cyanobacteriia	Phormidesmiales	98.64
SB_biofilm_MAG_11-MAP.txt	Bacteroidota	Bacteroidia	Chitinophagales	98.64
SB_biofilm_MAG_12-MAP.txt	Proteobacteria	Alphaproteobacteria		98.6
SB_biofilm_MAG_13-MAP.txt	Proteobacteria	Alphaproteobacteria	Rhizobiales	98.39
SB_biofilm_MAG_14-MAP.txt	Bacteroidota			98.36
SB_biofilm_MAG_15-MAP.txt	Bacteroidota	Bacteroidia	Flavobacteriales	98.3
SB_biofilm_MAG_16-MAP.txt	Proteobacteria	Alphaproteobacteria	Rhodobacterales	98.28
SB_biofilm_MAG_17-MAP.txt	Chloroflexota	Anaerolineae	SBR1031	98.18
SB_biofilm_MAG_18-MAP.txt	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	97.96
SB_biofilm_MAG_19-MAP.txt	Proteobacteria	Alphaproteobacteria	Caulobacterales	97.89
SB_biofilm_MAG_2-MAP.txt	Bacteroidota	Bacteroidia	Cytophagales	100
SB_biofilm_MAG_20-MAP.txt	Proteobacteria	Gammaproteobacteria		97.74
SB_biofilm_MAG_21-MAP.txt	Proteobacteria	Alphaproteobacteria		97.61
SB_biofilm_MAG_22-MAP.txt	Proteobacteria	Alphaproteobacteria	Caulobacterales	97.52
SB_biofilm_MAG_23-MAP.txt	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	97.47
SB_biofilm_MAG_24-MAP.txt	Proteobacteria	Alphaproteobacteria		96.96
SB_biofilm_MAG_25-MAP.txt	Proteobacteria	Alphaproteobacteria	Caulobacterales	96.62
SB_biofilm_MAG_26-MAP.txt	Planctomycetota	Phycisphaerae	Phycisphaerales	96.59
SB_biofilm_MAG_27-MAP.txt	Proteobacteria	Alphaproteobacteria		96.55
SB_biofilm_MAG_28-MAP.txt	Myxococcota	Polyangia	Polyangiales	96.2
SB_biofilm_MAG_29-MAP.txt	Proteobacteria	Alphaproteobacteria	Caulobacterales	96.17
SB_biofilm_MAG_3-MAP.txt	Bacteroidota	Bacteroidia	Flavobacteriales	100
SB_biofilm_MAG_30-MAP.txt	BRC1	UBA8349		96.07
SB_biofilm_MAG_31-MAP.txt	Proteobacteria	Gammaproteobacteria	UBA1113	95.93
SB_biofilm_MAG_32-MAP.txt	Proteobacteria	Alphaproteobacteria	Kiloniellales	95.87
SB_biofilm_MAG_33-MAP.txt	Planctomycetota	Planctomycetes	Pirellulales	95.64
SB_biofilm_MAG_34-MAP.txt	Cyanobacteriota	Cyanobacteriia	Pseudophormidiales	95.24
SB_biofilm_MAG_35-MAP.txt	Proteobacteria	Alphaproteobacteria	Micavibrionales	94.79
SB_biofilm_MAG_36-MAP.txt	Verrucomicrobiota	Chlamydiia	Parachlamydiales	94.76
SB_biofilm_MAG_37-MAP.txt	Planctomycetota	Planctomycetes	Planctomycetales	94.44
SB_biofilm_MAG_38-MAP.txt	Planctomycetota	Planctomycetes	Pirellulales	94.19
SB_biofilm_MAG_39-MAP.txt	Bacteroidota	Bacteroidia	Flavobacteriales	94.09
SB_biofilm_MAG_4-MAP.txt	Bacteroidota	Bacteroidia	Cytophagales	100
SB_biofilm_MAG_40-MAP.txt	Proteobacteria	Alphaproteobacteria	Rhizobiales	93.7
SB_biofilm_MAG_41-MAP.txt	Proteobacteria	Gammaproteobacteria	Nevskiales	93.05
SB_biofilm_MAG_42-MAP.txt	Bacteroidota	Bacteroidia	Flavobacteriales	92.94
SB_biofilm_MAG_43-MAP.txt	Myxococcota	UBA796	UBA796	92.86
SB_biofilm_MAG_44-MAP.txt	Proteobacteria	Gammaproteobacteria	Pseudomonadales	92.75
SB_biofilm_MAG_45-MAP.txt	Bacteroidota	Bacteroidia	Cytophagales	92.69
SB_biofilm_MAG_46-MAP.txt	Bacteroidota	Bacteroidia	Chitinophagales	92.17
SB_biofilm_MAG_47-MAP.txt	Proteobacteria	Alphaproteobacteria	Rhodobacterales	91.98
SB_biofilm_MAG_48-MAP.txt	Myxococcota	UBA796	UBA796	91.77
SB_biofilm_MAG_49-MAP.txt	Planctomycetota	Phycisphaerae	Phycisphaerales	91.46
SB_biofilm_MAG_5-MAP.txt	Bacteroidota	Bacteroidia	Cytophagales	99.7
SB_biofilm_MAG_50-MAP.txt	Proteobacteria	Alphaproteobacteria	Sphingomonadales	91.27
