genome_id	phylum	class	order	completeness
SB_biofilm_MAG_*-MAP.txt1	Bacteroidota	Bacteroidia	Cytophagales	100
SB_biofilm_MAG_*-MAP.txt10	Cyanobacteriota	Cyanobacteriia	Phormidesmiales	98.64
SB_biofilm_MAG_*-MAP.txt11	Bacteroidota	Bacteroidia	Chitinophagales	98.64
SB_biofilm_MAG_*-MAP.txt12	Proteobacteria	Alphaproteobacteria		98.6
SB_biofilm_MAG_*-MAP.txt13	Proteobacteria	Alphaproteobacteria	Rhizobiales	98.39
SB_biofilm_MAG_*-MAP.txt14	Bacteroidota			98.36
SB_biofilm_MAG_*-MAP.txt15	Bacteroidota	Bacteroidia	Flavobacteriales	98.3
SB_biofilm_MAG_*-MAP.txt16	Proteobacteria	Alphaproteobacteria	Rhodobacterales	98.28
SB_biofilm_MAG_*-MAP.txt17	Chloroflexota	Anaerolineae	SBR1031	98.18
SB_biofilm_MAG_*-MAP.txt18	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	97.96
SB_biofilm_MAG_*-MAP.txt19	Proteobacteria	Alphaproteobacteria	Caulobacterales	97.89
SB_biofilm_MAG_*-MAP.txt2	Bacteroidota	Bacteroidia	Cytophagales	100
SB_biofilm_MAG_*-MAP.txt20	Proteobacteria	Gammaproteobacteria		97.74
SB_biofilm_MAG_*-MAP.txt21	Proteobacteria	Alphaproteobacteria		97.61
SB_biofilm_MAG_*-MAP.txt22	Proteobacteria	Alphaproteobacteria	Caulobacterales	97.52
SB_biofilm_MAG_*-MAP.txt23	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	97.47
SB_biofilm_MAG_*-MAP.txt24	Proteobacteria	Alphaproteobacteria		96.96
SB_biofilm_MAG_*-MAP.txt25	Proteobacteria	Alphaproteobacteria	Caulobacterales	96.62
SB_biofilm_MAG_*-MAP.txt26	Planctomycetota	Phycisphaerae	Phycisphaerales	96.59
SB_biofilm_MAG_*-MAP.txt27	Proteobacteria	Alphaproteobacteria		96.55
SB_biofilm_MAG_*-MAP.txt28	Myxococcota	Polyangia	Polyangiales	96.2
SB_biofilm_MAG_*-MAP.txt29	Proteobacteria	Alphaproteobacteria	Caulobacterales	96.17
SB_biofilm_MAG_*-MAP.txt3	Bacteroidota	Bacteroidia	Flavobacteriales	100
SB_biofilm_MAG_*-MAP.txt30	BRC1	UBA8349		96.07
SB_biofilm_MAG_*-MAP.txt31	Proteobacteria	Gammaproteobacteria	UBA1113	95.93
SB_biofilm_MAG_*-MAP.txt32	Proteobacteria	Alphaproteobacteria	Kiloniellales	95.87
SB_biofilm_MAG_*-MAP.txt33	Planctomycetota	Planctomycetes	Pirellulales	95.64
SB_biofilm_MAG_*-MAP.txt34	Cyanobacteriota	Cyanobacteriia	Pseudophormidiales	95.24
SB_biofilm_MAG_*-MAP.txt35	Proteobacteria	Alphaproteobacteria	Micavibrionales	94.79
SB_biofilm_MAG_*-MAP.txt36	Verrucomicrobiota	Chlamydiia	Parachlamydiales	94.76
SB_biofilm_MAG_*-MAP.txt37	Planctomycetota	Planctomycetes	Planctomycetales	94.44
SB_biofilm_MAG_*-MAP.txt38	Planctomycetota	Planctomycetes	Pirellulales	94.19
SB_biofilm_MAG_*-MAP.txt39	Bacteroidota	Bacteroidia	Flavobacteriales	94.09
SB_biofilm_MAG_*-MAP.txt4	Bacteroidota	Bacteroidia	Cytophagales	100
SB_biofilm_MAG_*-MAP.txt40	Proteobacteria	Alphaproteobacteria	Rhizobiales	93.7
SB_biofilm_MAG_*-MAP.txt41	Proteobacteria	Gammaproteobacteria	Nevskiales	93.05
SB_biofilm_MAG_*-MAP.txt42	Bacteroidota	Bacteroidia	Flavobacteriales	92.94
SB_biofilm_MAG_*-MAP.txt43	Myxococcota	UBA796	UBA796	92.86
SB_biofilm_MAG_*-MAP.txt44	Proteobacteria	Gammaproteobacteria	Pseudomonadales	92.75
SB_biofilm_MAG_*-MAP.txt45	Bacteroidota	Bacteroidia	Cytophagales	92.69
SB_biofilm_MAG_*-MAP.txt46	Bacteroidota	Bacteroidia	Chitinophagales	92.17
SB_biofilm_MAG_*-MAP.txt47	Proteobacteria	Alphaproteobacteria	Rhodobacterales	91.98
SB_biofilm_MAG_*-MAP.txt48	Myxococcota	UBA796	UBA796	91.77
SB_biofilm_MAG_*-MAP.txt49	Planctomycetota	Phycisphaerae	Phycisphaerales	91.46
SB_biofilm_MAG_*-MAP.txt5	Bacteroidota	Bacteroidia	Cytophagales	99.7
SB_biofilm_MAG_*-MAP.txt50	Proteobacteria	Alphaproteobacteria	Sphingomonadales	91.27
SB_biofilm_MAG_*-MAP.txt51	Proteobacteria	Alphaproteobacteria	Micavibrionales	91.25
SB_biofilm_MAG_*-MAP.txt52	Verrucomicrobiota	Verrucomicrobiae	Opitutales	90.39
SB_biofilm_MAG_*-MAP.txt53	Planctomycetota	UBA1135	UBA1135	90.32
SB_biofilm_MAG_*-MAP.txt54	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	90.24
SB_biofilm_MAG_*-MAP.txt55	Bacteroidota	Bacteroidia	Chitinophagales	90.02
SB_biofilm_MAG_*-MAP.txt56	Bacteroidota	Bacteroidia	Cytophagales	89.68
SB_biofilm_MAG_*-MAP.txt57	Proteobacteria	Alphaproteobacteria	Parvibaculales	89.07
SB_biofilm_MAG_*-MAP.txt58	Proteobacteria	Alphaproteobacteria	Rhodobacterales	88.38
SB_biofilm_MAG_*-MAP.txt59	Myxococcota	UBA796	UBA796	87.99
SB_biofilm_MAG_*-MAP.txt6	Bacteroidota	Bacteroidia	Cytophagales	99.55
SB_biofilm_MAG_*-MAP.txt60	Planctomycetota	Planctomycetes	Pirellulales	87.96
SB_biofilm_MAG_*-MAP.txt61	Verrucomicrobiota	Verrucomicrobiae	Methylacidiphilales	87.75
SB_biofilm_MAG_*-MAP.txt62	Bacteroidota	Bacteroidia	Chitinophagales	87.54
SB_biofilm_MAG_*-MAP.txt63	Proteobacteria	Alphaproteobacteria		82.92
SB_biofilm_MAG_*-MAP.txt64	Proteobacteria	Alphaproteobacteria	Rhodobacterales	82.86
SB_biofilm_MAG_*-MAP.txt65	Proteobacteria	Gammaproteobacteria	Pseudomonadales	81.03
